year,period,value
2014,M02,3.1
2014,M03,3.1
2014,M04,3.2
2014,M05,3.3
2014,M06,3.5
2014,M07,3.4
2014,M08,3.7
2014,M09,3.4
2014,M10,3.5
2014,M11,3.3
2014,M12,3.5
2015,M01,3.7
2015,M02,3.7
2015,M03,3.6
2015,M04,3.8
2015,M05,3.8
2015,M06,3.6
2015,M07,4.1
2015,M08,3.7
2015,M09,3.7
2015,M10,3.9
2015,M11,3.8
2015,M12,3.9
2016,M01,4.0
2016,M02,3.9
2016,M03,4.1
2016,M04,3.9
2016,M05,3.9
2016,M06,3.8
2016,M07,4.0
2016,M08,3.8
2016,M09,3.9
2016,M10,3.7
2016,M11,4.0
2016,M12,3.9
2017,M01,3.7
2017,M02,3.9
2017,M03,3.8
2017,M04,4.0
2017,M05,3.8
2017,M06,4.1
2017,M07,4.1
2017,M08,4.1
2017,M09,4.1
2017,M10,4.2
2017,M11,4.1
2017,M12,4.1
2018,M01,4.3
2018,M02,4.2
2018,M03,4.4
2018,M04,4.4
2018,M05,4.5
2018,M06,4.6
2018,M07,4.6
2018,M08,4.6
2018,M09,4.7
2018,M10,4.7
2018,M11,4.8
2018,M12,4.8
2019,M01,4.8
2019,M02,4.5
2019,M03,4.6
2019,M04,4.6
2019,M05,4.6
2019,M06,4.6
2019,M07,4.5
2019,M08,4.5
2019,M09,4.5
2019,M10,4.6
2019,M11,4.3
2019,M12,4.2
2020,M01,4.5
2020,M02,4.4
2020,M03,3.8
2020,M04,3.4
2020,M05,4.0
2020,M06,4.3
2020,M07,4.5
2020,M08,4.4
2020,M09,4.4
2020,M10,4.6
2020,M11,4.6
2020,M12,4.5
2021,M01,4.8
2021,M02,5.2
2021,M03,5.6
2021,M04,6.1
2021,M05,6.4
2021,M06,6.6
2021,M07,7.0
2021,M08,6.9
2021,M09,6.8
2021,M10,7.0
2021,M11,7.0
2021,M12,7.1
2022,M01,7.0
2022,M02,7.2
2022,M03,7.5
2022,M04,7.3
2022,M05,7.1
2022,M06,6.9
2022,M07,7.0
2022,M08,6.2
2022,M09,6.6
2022,M10,6.4
2022,M11,6.4
2022,M12,6.6
2023,M01,6.2
2023,M02,6.0
2023,M03,5.9
2023,M04,6.0
2023,M05,5.7
2023,M06,5.6
2023,M07,5.3
2023,M08,5.6
2023,M09,5.6
2023,M10,5.2
2023,M11,5.2
2023,M12,5.2
2024,M01,5.1
2024,M02,5.1
2024,M03,5.0
2024,M04,4.6
2024,M05,4.7
2024,M06,4.5
2024,M07,4.5
2024,M08,4.6
2024,M09,4.2
2024,M10,4.5
2024,M11,4.6
2024,M12,4.4
2025,M01,4.5
2025,M02,4.4
2025,M03,4.2
2025,M04,4.3
2025,M05,4.4
2025,M06,4.3
2025,M07,4.3
2025,M08,4.2
2025,M09,4.3
2025,M10,4.3
2025,M11,4.1
2025,M12,4.0
